date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:37	297/297	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:38:37%20GMT	http://t.webring.org/go?ring=6502webring&id=5&next	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/t.webring.org/go.129177.delayed	(from http://www.obelisk.me.uk/6502/)
18:38:37	44/44	---M--	403	error ('Forbidden')	text/html	date:Mon,%2005%20Feb%202018%2020:38:38%20GMT	http://www.hytherion.com/beattidp/	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.hytherion.com/beattidp/index.html	(from http://www.obelisk.me.uk/6502/)
18:38:38	819/819	---M--	200	added ('OK')	image/jpeg	etag:%22333-52009b31e72f5%22	http://www.obelisk.me.uk/6502/ringnext.jpg	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/ringnext.jpg	(from http://www.obelisk.me.uk/6502/)
18:38:38	330/330	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:38:39%20GMT	http://ss.webring.com/navbar?f=j;y=andrew_jacobs;u=10039925	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.com/navbar.1419c4.delayed	(from http://www.obelisk.me.uk/6502/)
18:38:38	2650/2650	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2005%20Feb%202018%2020:38:39%20GMT	http://ss.webring.org/navbar?f=j;y=andrew_jacobs;u=10039925;comid=	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/navbar4e61.js	(from http://www.obelisk.me.uk/6502/)
18:38:39	330/330	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:38:40%20GMT	http://ss.webring.com/navbar?f=l;y=andrew_jacobs;u=10039925	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.com/navbar.164008.delayed	(from http://www.obelisk.me.uk/6502/)
18:38:39	11597/11597	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2020:38:40%20GMT	http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/navbarc417.html	(from http://www.obelisk.me.uk/6502/)
18:38:40	25628/25628	---M--	200	added ('OK')	text/html	etag:%22641c-52009b3067609%22	http://www.obelisk.me.uk/6502/maclib.inc	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/maclib.html	(from http://www.obelisk.me.uk/6502/downloads.html)
18:38:41	1498/1498	---M--	200	added ('OK')	text/html	etag:%225da-52009b2ef57d1%22	http://www.obelisk.me.uk/6502/bbc.inc	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/bbc.html	(from http://www.obelisk.me.uk/6502/downloads.html)
18:38:41	2297/2297	---M--	200	added ('OK')	text/html	etag:%228f9-52009b2f23de2%22	http://www.obelisk.me.uk/6502/debug.inc	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/debug.html	(from http://www.obelisk.me.uk/6502/downloads.html)
18:38:41	5399/5399	---MCZ	200	added ('OK')	text/html	etag:W/%221517-52009b2fa5470%22	http://www.obelisk.me.uk/6502/index.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/index-2.html	(from http://www.obelisk.me.uk/6502/downloads.html)
